Source,Target,combined_score
Q0045,YML030W,734
Q0045,YGL187C,999
Q0045,Q0275,999
Q0045,YLR395C,998
Q0045,Q0105,989
Q0045,YNR018W,944
Q0045,YMR256C,997
Q0045,YDR119W-A,978
Q0045,YFR033C,979
Q0045,YNL052W,995
Q0045,YPR191W,992
Q0045,YHR051W,999
Q0045,YDL067C,992
Q0045,YIL111W,993
Q0045,YGR183C,987
Q0045,YDR529C,985
Q0045,YEL024W,996
Q0045,YOR065W,993
Q0045,YGL191W,998
Q0045,YHR001W-A,990
Q0045,Q0250,999
Q0045,YLR038C,998
Q0045,YJL166W,982
Q0045,YBL045C,995
Q0065,YLR038C,763
Q0065,YGR183C,713
Q0065,Q0250,895
Q0065,YPR191W,784
Q0065,YHR051W,854
Q0065,YGL191W,761
Q0065,YLR395C,837
Q0065,YOR065W,852
Q0065,YEL024W,761
Q0065,Q0275,890
Q0065,YGL187C,889
Q0070,YHR051W,854
Q0070,YPR191W,784
Q0070,YGR183C,713
Q0070,Q0275,890
Q0070,YGL187C,889
Q0070,YLR395C,837
Q0070,Q0250,890
Q0070,YLR038C,763
Q0070,YOR065W,852
Q0070,YEL024W,761
Q0070,YGL191W,761
Q0080,YLR447C,720
Q0080,YMR054W,720
Q0080,YPL271W,941
Q0080,YML081C-A,995
Q0080,YDR298C,951
Q0080,YBL099W,983
Q0080,YOR270C,720
Q0080,YCL005W-A,720
Q0080,YPL234C,720
Q0080,YBR039W,941
Q0080,YOL077W-A,941
Q0080,Q0085,997
Q0080,YHR026W,720
Q0080,YLR295C,983
Q0080,YDR377W,978
Q0080,YPL078C,991
Q0080,YEL027W,720
Q0080,YLR393W,734
Q0080,YPR020W,720
Q0080,Q0130,985
Q0080,YDL004W,962
Q0080,YKL016C,991
Q0080,YJR121W,983
Q0080,YDR322C-A,720
Q0085,YPL271W,998
Q0085,Q0080,997
Q0085,YCL005W-A,720
Q0085,YDR298C,999
Q0085,YBL099W,999
Q0085,Q0275,745
Q0085,YOL077W-A,970
Q0085,YJR119C,801
Q0085,YLR295C,983
Q0085,YKL016C,998
Q0085,YPR020W,973
Q0085,Q0130,999
Q0085,YMR054W,955
Q0085,YLR447C,900
Q0085,YMR176W,801
Q0085,YML081C-A,998
Q0085,YOR270C,955
Q0085,YPL234C,980
Q0085,YBR039W,999
Q0085,YHR026W,971
Q0085,YPL078C,998
Q0085,YDR377W,980
Q0085,YDL004W,999
Q0085,YJR121W,999
Q0085,YDR322C-A,720
Q0085,YEL027W,980
Q0085,YLR393W,734
Q0105,YEL024W,999
Q0105,YHR001W-A,991
Q0105,YJR048W,900
Q0105,YLR038C,996
Q0105,YLR163C,819
Q0105,YBL045C,997
Q0105,Q0120,900
Q0105,Q0275,996
Q0105,YNR018W,800
Q0105,YDR119W-A,941
Q0105,YDL067C,979
Q0105,YHR051W,990
Q0105,YNL052W,982
Q0105,YIL111W,982
Q0105,YOR065W,999
Q0105,YGL191W,996
Q0105,Q0250,997
Q0105,Q0115,900
Q0105,YJL166W,999
Q0105,YML030W,734
Q0105,YGL187C,996
Q0105,YEL039C,900
Q0105,Q0110,900
Q0105,Q0045,989
Q0105,YPL215W,722
Q0105,YLR395C,986
Q0105,YFR033C,980
Q0105,YMR256C,995
Q0105,YPR191W,997
Q0105,YDR529C,999
Q0105,YGR183C,999
Q0110,Q0115,900
Q0110,YOR065W,971
Q0110,YEL024W,971
Q0110,Q0105,900
Q0110,Q0120,900
Q0115,YPR191W,726
Q0115,YGR183C,722
Q0115,YDR529C,747
Q0115,Q0110,900
Q0115,YOR065W,977
Q0115,Q0120,900
Q0115,Q0105,900
Q0115,YEL024W,977
Q0120,YEL024W,977
Q0120,Q0105,900
Q0120,YJL166W,712
Q0120,Q0115,900
Q0120,YOR065W,977
Q0120,YDR529C,747
Q0120,YGR183C,722
Q0120,YPR191W,726
Q0120,Q0110,900
Q0130,YLR295C,983
Q0130,YOL077W-A,941
Q0130,YOR332W,731
Q0130,YKL016C,998
Q0130,YPR020W,948
Q0130,YPL271W,989
Q0130,YCL005W-A,720
Q0130,Q0080,985
Q0130,YBL099W,998
Q0130,YDR298C,995
Q0130,YGR020C,719
Q0130,YPL078C,996
Q0130,YDR377W,941
Q0130,YHR026W,720
Q0130,Q0085,999
Q0130,YDR322C-A,720
Q0130,YDL004W,999
Q0130,YJR121W,997
Q0130,YEL027W,720
